seq_len,batch_size,lr,epochs,val_avg_loss,val_acc,val_topk_acc
50,4,0.0001,10,3.1202576637268065,0.39222222222222225,0.58
50,4,0.0001,20,4.29281268119812,0.39111111111111113,0.5777777777777777
50,4,0.01,10,3.4027777194976805,0.15333333333333332,0.30777777777777776
50,4,0.01,20,3.3823205471038817,0.1388888888888889,0.29888888888888887
50,16,0.0001,10,2.780820608139038,0.32555555555555554,0.5266666666666666
50,16,0.0001,20,4.127897381782532,0.37666666666666665,0.5677777777777778
50,16,0.01,10,3.683600068092346,0.052222222222222225,0.22666666666666666
50,16,0.01,20,3.2495793104171753,0.15555555555555556,0.32
100,4,0.0001,10,2.902935028076172,0.40555555555555556,0.6044444444444445
100,4,0.0001,20,4.386058251063029,0.42333333333333334,0.6033333333333334
100,4,0.01,10,3.4993971983591714,0.11333333333333333,0.2811111111111111
100,4,0.01,20,3.0952208042144775,0.14777777777777779,0.36666666666666664
100,16,0.0001,10,2.601547956466675,0.3377777777777778,0.5511111111111111
100,16,0.0001,20,2.698779344558716,0.3811111111111111,0.5944444444444444
100,16,0.01,10,3.4738752841949463,0.12,0.27
100,16,0.01,20,3.38604736328125,0.12222222222222222,0.2677777777777778
